item,n_obs,logLik,AIC,link
accurate,644,-844.043133070631,1706.08626614126,logit
clear.direction,644,-860.331154367891,1738.66230873578,logit
criteria.based,644,-835.085342794099,1688.1706855882,logit
prioritization,644,-912.996410355058,1843.99282071012,logit
supportive,644,-626.204215084703,1270.40843016941,logit
