item,n_pair,mean_diff,ttest_p,t,df,mean_ai,mean_supervisor,ai_ci_low,ai_ci_high,ai_sd,supervisor_sd,diff_sd,supervisor_ci_low,supervisor_ci_high,mean_diff_ci_low,mean_diff_ci_high,n_comparisons,bonferroni_p,p_fmt,bonferroni_p_fmt
accurate,322,0.375776397515528,8.53449408363556e-05,3.97974240717196,321,4.17701863354037,3.80124223602485,4.07482115722616,4.27921610985459,0.932136423050934,1.45683425731565,1.69434744319381,3.64151799306645,3.96096647898324,0.190011708558202,0.561541086472854,5,0.000426724704181778,<0.001,<0.001
clear.direction,322,1.38509316770186,6.68267349446705e-32,13.1528558028511,321,4.36024844720497,2.97515527950311,4.26229782133733,4.45819907307261,0.893401180975781,1.52630235715945,1.88967389693979,2.80781470023083,3.14249585877539,1.17791329730049,1.59227303810324,5,3.34133674723353e-31,<0.001,<0.001
criteria.based,322,1.70186335403727,3.84918865088197e-45,16.6078898271094,321,4.43167701863354,2.72981366459627,4.3427883894972,4.52056564776988,0.810747308067531,1.51574682539374,1.83881554893748,2.56363037161915,2.8959969575734,1.50025948591068,1.90346722216386,5,1.92459432544098e-44,<0.001,<0.001
prioritization,322,0.677018633540373,5.30766520526783e-10,6.40620814925715,321,4.04968944099379,3.37267080745342,3.94419338834194,4.15518549364564,0.962222519688636,1.53188286716348,1.8963893696697,3.20471839280505,3.54062322210178,0.469102492837478,0.884934774243267,5,2.65383260263392e-09,<0.001,<0.001
supportive,322,0.229813664596273,0.00212435544000871,3.09743739526814,321,4.55900621118012,4.32919254658385,4.4700371566934,4.64797526566685,0.811480862369812,1.10944064105253,1.33137760245211,4.20755580883586,4.45082928433184,0.0838442253305761,0.375783103861971,5,0.0106217772000436,0.002,0.011
